"time","tcol_co","anomaly_co"
201407,1.5706e+18,4.69027e+16
201408,1.62334e+18,-2.59361e+16
201409,1.90578e+18,4.62207e+16
201410,2.27786e+18,2.33031e+17
201411,2.07689e+18,1.91202e+17
201412,1.62976e+18,-1.02742e+17
201501,1.99432e+18,1.27099e+17
201502,2.10319e+18,1.49257e+17
201503,1.94692e+18,7.16669e+16
201504,1.67766e+18,4.42235e+16
201505,1.59156e+18,2.98761e+16
201506,1.48847e+18,-3.68915e+16
201507,1.555e+18,3.13043e+16
201508,1.65694e+18,7.66016e+15
201509,2.52912e+18,6.69553e+17
201510,3.19892e+18,1.15409e+18
201511,2.53313e+18,6.47434e+17
201512,1.93716e+18,2.04657e+17
201601,1.90675e+18,3.95233e+16
201602,1.78115e+18,-1.72792e+17
201603,2.10915e+18,2.33891e+17
201604,1.81295e+18,1.79507e+17
201605,1.58069e+18,1.90117e+16
201606,1.51855e+18,-6.80639e+15
201607,1.47249e+18,-5.12142e+16
201608,1.59617e+18,-5.31155e+16
201609,1.60372e+18,-2.55845e+17
201610,1.66222e+18,-3.82612e+17
201611,1.60493e+18,-2.80759e+17
201612,1.63501e+18,-9.74933e+16
