"time","tcol_co","anomaly_co"
201407,1.33048e+18,-9.83245e+16
201408,1.74113e+18,-1.23112e+17
201409,1.84488e+18,-2.29724e+17
201410,1.71143e+18,-5.97769e+16
201411,1.44015e+18,-5.64342e+16
201412,1.40713e+18,-3.87042e+15
201501,1.29581e+18,-1.05614e+17
201502,1.41217e+18,5.2958e+15
201503,1.33022e+18,-4.42725e+16
201504,1.28283e+18,-5.76419e+14
201505,1.21513e+18,-2.66439e+15
201506,1.24988e+18,-3.85149e+16
201507,1.35366e+18,-7.51388e+16
201508,1.80276e+18,-6.14894e+16
201509,2.15758e+18,8.29766e+16
201510,2.08468e+18,3.13476e+17
201511,1.73102e+18,2.34433e+17
201512,1.72942e+18,3.18417e+17
201601,1.63417e+18,2.32747e+17
201602,1.52162e+18,1.14744e+17
201603,1.42756e+18,5.30679e+16
201604,1.33635e+18,5.29437e+16
201605,1.2785e+18,6.07028e+16
201606,1.356e+18,6.76043e+16
201607,1.53135e+18,1.02546e+17
201608,1.80908e+18,-5.51684e+16
201609,1.87166e+18,-2.02946e+17
201610,1.64949e+18,-1.21715e+17
201611,1.38725e+18,-1.09334e+17
201612,1.34547e+18,-6.55305e+16
