"time","tcol_co","anomaly_co"
201408,1.54764e+18,-1.42833e+16
201409,1.81355e+18,-6.30949e+16
201410,2.09566e+18,-1.88257e+16
201411,2.06694e+18,7.26537e+16
201412,1.57293e+18,-6.86187e+16
201501,1.42359e+18,-4.55327e+16
201502,1.44474e+18,4.53586e+16
201503,1.40626e+18,3.57145e+16
201504,1.4201e+18,2.83796e+16
201505,1.44091e+18,2.11359e+16
201506,1.41037e+18,-9.04664e+15
201507,1.45881e+18,2.33958e+16
201508,1.57175e+18,9.82139e+15
201509,1.96781e+18,9.11615e+16
201510,2.37457e+18,2.60087e+17
201511,2.41379e+18,4.19506e+17
201512,1.83278e+18,1.91225e+17
201601,1.59293e+18,1.23808e+17
201602,1.49694e+18,9.7559e+16
201603,1.47986e+18,1.09312e+17
201604,1.50029e+18,1.08561e+17
201605,1.47267e+18,5.28943e+16
201606,1.42894e+18,9.52452e+15
201607,1.40529e+18,-3.01285e+16
201608,1.53268e+18,-2.92455e+16
201609,1.69873e+18,-1.77924e+17
201610,1.81464e+18,-2.9984e+17
201611,1.77041e+18,-2.23873e+17
201612,1.59105e+18,-5.0497e+16
