"time","tcol_co","anomaly_co"
201407,1.41484e+18,-1.78539e+16
201408,1.52086e+18,-1.52367e+17
201409,1.91133e+18,-1.04309e+17
201410,1.71923e+18,-2.58854e+17
201411,1.54538e+18,-7.14387e+16
201412,1.40179e+18,-3.85432e+16
201501,1.33748e+18,-4.46354e+16
201502,1.33007e+18,-3.29243e+16
201503,1.31506e+18,-2.29001e+15
201504,1.2344e+18,-3.38974e+16
201505,1.33226e+18,4.47637e+16
201506,1.33487e+18,-1.80809e+16
201507,1.43387e+18,1.1817e+15
201508,1.79053e+18,1.17301e+17
201509,2.00989e+18,-5.75663e+15
201510,2.09636e+18,1.18277e+17
201511,1.80802e+18,1.912e+17
201512,1.75159e+18,3.11256e+17
201601,1.56885e+18,1.86733e+17
201602,1.53275e+18,1.69757e+17
201603,1.4217e+18,1.04354e+17
201604,1.41176e+18,1.43465e+17
201605,1.3387e+18,5.12001e+16
201606,1.36965e+18,1.67023e+16
201607,1.42035e+18,-1.23409e+16
201608,1.72026e+18,4.70339e+16
201609,1.90231e+18,-1.13337e+17
201610,1.78208e+18,-1.96002e+17
201611,1.58958e+18,-2.72371e+16
201612,1.42417e+18,-1.61704e+16
