"time","anomaly"
20100301,0.75,
20100401,0.58,
20100501,0.43,
20100601,0.59,
20100701,0.35,
20100801,0.16,
20100901,0.1,
20101001,0.2,
20101101,0.21,
20101201,0.15,
20110101,0.29,
20110201,0.45,
20110301,0.46,
20110401,0.49,
20110501,0.21,
20110601,0.01,
20110701,0.11,
20110801,0.15,
20110901,0.02,
20111001,0.04,
20111101,-0.24,
20111201,-0.74,
20120101,-0.79,
20120201,-0.7,
20120301,-0.35,
20120401,-0.47,
20120501,-0.24,
20120601,-0.27,
20120701,-0.3,
20120801,-0.27,
20120901,-0.31,
20121001,-0.39,
20121101,-0.29,
20121201,-0.06,
20130101,0.09,
20130201,-0.06,
20130301,-0.1,
20130401,0.07,
20130501,0.19,
20130601,0.03,
20130701,-0.03,
20130801,0.09,
20130901,-0.16,
20131001,-0.18,
20131101,-0.33,
20131201,-0.12,
20140101,-0.09,
20140201,0.14,
20140301,0.05,
20140401,0.14,
20140501,0.39,
20140601,0.31,
20140701,0.02,
20140801,-0.03,
20140901,-0.04,
20141001,-0.04,
20141101,-0.45,
20141201,-0.37,
20150101,0.05,
20150201,0.12,
20150301,0.03,
20150401,0.24,
20150501,0.45,
20150601,0,
20150701,-0.15,
20150801,-0.38,
20150901,-0.26,
20151001,-0.07,
20151101,0.12,
20151201,0.43,
20160101,0.63,
20160201,0.5,
20160301,0.32,
20160401,0.14,
20160501,0.08,
20160601,0.44,
20160701,0.48,
20160801,0.33,
20160901,0.12,
20161001,0.18,
20161101,0.24,
20161201,0.51,
20170101,0.41,
20170201,0.04,
20170301,0.07,
